               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.052378,            0.051841,            0.069098,             0.78422,             0.24358,             0.23201,             0.13114,               0.042,            0.059999,            0.072819,           0.0097565,           0.0097565,           0.0097565
                 125,            0.052619,            0.050749,            0.070709,             0.79508,             0.20331,              0.2171,             0.11735,            0.040804,            0.060387,            0.072592,           0.0097545,           0.0097545,           0.0097545
                 126,            0.050826,            0.048464,             0.06913,             0.89411,             0.14979,             0.22109,             0.12406,            0.043062,            0.063267,            0.072514,           0.0097525,           0.0097525,           0.0097525
                 127,            0.053043,            0.047434,             0.06703,             0.85455,             0.17274,             0.22347,              0.1242,            0.046142,            0.060216,            0.072479,           0.0097505,           0.0097505,           0.0097505
                 128,            0.053688,            0.047342,             0.06396,             0.85534,             0.20017,             0.25008,             0.12899,            0.045762,            0.058028,            0.072006,           0.0097485,           0.0097485,           0.0097485
                 129,            0.055355,            0.051745,            0.066624,              0.8023,             0.26092,             0.27086,             0.15417,            0.042047,            0.057198,            0.072338,           0.0097466,           0.0097466,           0.0097466
                 130,            0.052328,            0.045791,            0.064839,              0.8789,             0.15486,             0.23758,             0.12691,            0.043151,            0.056803,            0.071872,           0.0097446,           0.0097446,           0.0097446
                 131,            0.050978,            0.052546,            0.063748,             0.94288,             0.10398,             0.20399,              0.1103,            0.042898,             0.07475,            0.073053,           0.0097426,           0.0097426,           0.0097426
                 132,            0.050129,            0.052012,            0.064852,             0.74042,             0.22169,             0.21345,             0.12991,            0.044855,            0.061051,            0.071708,           0.0097406,           0.0097406,           0.0097406
                 133,            0.052002,            0.049734,            0.066003,             0.80663,             0.23195,             0.24266,             0.10517,            0.045964,            0.057497,            0.072165,           0.0097386,           0.0097386,           0.0097386
                 134,            0.055064,            0.046017,            0.067793,             0.82613,             0.21822,             0.24824,             0.14221,            0.042792,            0.064322,            0.072234,           0.0097367,           0.0097367,           0.0097367
                 135,            0.050493,            0.045768,            0.065157,             0.76562,              0.2252,             0.21829,             0.10293,            0.043798,            0.059314,            0.070974,           0.0097347,           0.0097347,           0.0097347
                 136,            0.050347,            0.044047,            0.063591,             0.77552,             0.23124,                0.23,              0.1091,            0.048577,             0.05918,             0.07149,           0.0097327,           0.0097327,           0.0097327
                 137,            0.053596,            0.049166,             0.06406,             0.80111,             0.20361,             0.23361,              0.1107,            0.045607,            0.054818,            0.071406,           0.0097307,           0.0097307,           0.0097307
                 138,            0.052894,            0.045677,            0.066531,             0.82374,             0.18394,             0.24504,             0.11589,            0.044506,            0.057635,             0.07141,           0.0097287,           0.0097287,           0.0097287
                 139,            0.054094,            0.041629,            0.065939,             0.92836,             0.13466,             0.22208,             0.11375,            0.046554,            0.056221,            0.070694,           0.0097268,           0.0097268,           0.0097268
                 140,            0.051932,            0.046775,            0.066916,             0.77912,             0.19666,              0.2406,             0.11782,            0.042895,            0.056155,            0.071117,           0.0097248,           0.0097248,           0.0097248
                 141,            0.050457,            0.046093,            0.065697,             0.77878,             0.24291,             0.27476,             0.15529,            0.045947,            0.056813,             0.07179,           0.0097228,           0.0097228,           0.0097228
                 142,            0.048536,             0.04604,            0.066991,             0.87838,             0.14834,             0.24495,             0.13948,            0.040605,            0.063826,            0.070971,           0.0097208,           0.0097208,           0.0097208
                 143,            0.050246,            0.050359,            0.064427,             0.80022,             0.21878,             0.26412,             0.15288,            0.039095,            0.058798,            0.071024,           0.0097188,           0.0097188,           0.0097188
                 144,            0.048706,            0.044985,            0.066278,             0.79156,              0.2281,             0.21663,             0.13252,            0.043542,             0.05921,            0.071053,           0.0097169,           0.0097169,           0.0097169
                 145,            0.049069,            0.043396,            0.064522,             0.79334,             0.24948,              0.2784,             0.16245,            0.042278,            0.058393,            0.070807,           0.0097149,           0.0097149,           0.0097149
                 146,            0.047609,            0.042728,            0.067424,             0.82575,             0.22374,             0.32088,             0.16817,            0.041149,            0.053271,             0.07066,           0.0097129,           0.0097129,           0.0097129
                 147,            0.047577,            0.042905,            0.063563,             0.77347,              0.1881,             0.21852,             0.11997,            0.044192,             0.05662,            0.070856,           0.0097109,           0.0097109,           0.0097109
                 148,            0.050795,            0.045968,            0.061965,              0.8317,             0.22457,              0.2789,             0.16982,            0.038584,               0.054,             0.06976,           0.0097089,           0.0097089,           0.0097089
                 149,             0.04921,            0.044826,            0.062086,             0.80021,             0.24475,             0.26204,             0.16444,             0.03917,            0.056745,            0.069641,            0.009707,            0.009707,            0.009707
                 150,            0.047908,            0.041932,            0.061966,             0.85628,             0.23596,             0.28702,             0.18671,            0.039021,            0.052236,            0.069351,            0.009705,            0.009705,            0.009705
                 151,            0.046124,            0.043922,            0.064295,              0.8222,             0.19952,             0.22855,             0.11729,            0.043714,            0.074638,             0.07052,            0.009703,            0.009703,            0.009703
                 152,            0.046592,            0.046796,            0.062492,             0.81365,             0.22395,             0.24788,             0.13851,            0.047128,            0.057609,            0.069569,            0.009701,            0.009701,            0.009701
